objectid,title,Series,Episode,filename,Culture,format,description,subject
1,Klingon D’k Tahg,The Next Generation; Deep Space Nine; Voyager,The Next Generation s3e17 Sins of the Father,dktahg.jpg,Klingon,image/jpeg,"A Klingon ""warrior's knife"", traditionally used in hand-to-hand combat. Featured in many episodes of the Star Trek franchise, including The Next Generation s3e17, Sins of the Father.",Klingon; knife; weapon
2,Type VI tricorder (closed),The Next Generation,The Next Generation s1e14 Angel One,typevitricorder.jpg,Starfleet,image/jpeg,"A portable scanning device used by Starfleet members to gain information about their surrounding area. This prop is as it appears when folded closed for portability. Tricorders hace come in many variations across the decades of the Federation, and this Type VI version can be seen in episodes such as The Next Generation s1e14, Angel One.",Tricorder; tool; Starfleet
3,Type 2 phaser,The Next Generation; Deep Space Nine; Voyager,The Next Generation First Contact (film),typetwophaser.jpg,Starfleet,image/jpeg,"A portable weapon that fires a compressed laser beam. There is a range of severity settings from mild stun to kill. This model phaser can be seen multiple times in the Star Trek franchise, including the film First Contact.",Starfleet; weapon
4,Mark X Tricorder,Deep Space Nine; Voyager,Voyager s5e23 Relativity,markxtricorderopen.jpg,Starfleet,image/jpeg,"A portable scanning device used by Starfleet members to gain information about their surrounding area. This prop can fold open and closed and shows many of its functions. It appears multiple times, including in Voyager s5e23 Relativity.",tricorder; tool; Starfleet
5,Data’s emergency transporter,The Next Generation,The Next Generation Nemesis (film),nemesistransporter.jpg,Starfleet,image/jpeg,"A small device that can attach to one's clothing and, when activated, will result in an instant ""beam out"", transporting the wearer out of their immediate surroundings. This can be seen in the film Nemesis, when the android Data places the device on Captain Picard to remove him from the enemy ship, resulting in Data sacrificing himself.",transporter; tool; Starfleet
6,Latinum,Deep Space Nine,Deep Space Nine s4e24 Body Parts,latinum.jpg,Ferengi,image/jpeg,"The primary source of currency among Ferengi, one of the few species who still uses money in the time of the Federation. It can be seen in many episodes of Deep Space Nine, including s4e24 Body Parts.",money; currency; Ferengi
7,Cardassian disruptor,Deep Space Nine,Deep Space Nine s2e18 Profit and Loss,cardassiandisruptor.jpg,Cardassian,image/jpeg,"A handheld laser weapon, similar to Starfleet's phaser, but of Cardassian origin. This weapon, however, has fewer settings, is sturdier, and usually more deadly.",Cardassian; weapon
8,Cardassian door panel,Deep Space Nine,Deep Space Nine s5e13 For the Uniform,cardassiandoorpanel.jpg,Cardassian,image/jpeg,"Control panels commonly seen around the Cardassian-designed space station Terok Nor (later renamed Deep Space Nine). It can seen in multiple episodes of Deep Space Nine, including in s5e13 For the Uniform.",Cardassian; tool
9,Cardassian isolinear rod,Deep Space Nine,Deep Space Nine s6e19 In the Pale Moonlight,cardassianisolinearrod.jpg,Cardassian,image/jpeg,"Data storage rods commonly used on Deep Space Nine. Can be seen in multiple episodes, including (most famously) s6e19 In the Pale Moonlight, when Captain Sisko gives a rod with fake intelligence information to a Romulan.",Cardassian; tool
10,Tribbles,Deep Space Nine,Deep Space Nine s5e6 Trials and Tribbleations,tribbles.jpg,Tribble,image/jpeg,"Small, furry, unintelligent creatures that seemingly only vibrate/purr, consume, and reproduce at an alarming rate. They first appeared in the episode of the Original Series s2e15 The Trouble with Tribbles, and are revisted when the crew goes back in time to that era in Deep Space Nine s5e6 Trials and Tribbleations.",
11,Federation membership treaty,Deep Space Nine,Deep Space Nine s5e10 Rapture,membershiptreaty.jpg,Starfleet,image/jpeg,The paperwork and pen used to sign a treaty during the Dominion War in Deep Space Nine s5e10 Rapture.,Starfleet
12,Practice baseball,Deep Space Nine,Deep Space Nine s7e4 Take Me Out to the Holosuite,ninersbaseball.jpg,Starfleet,image/jpeg,A baseball used by the Niners team in Deep Space Nine s7e4 Take Me Out to the Holosuite.,Starfleet; baseball; Sisko; Niners
13,Captain Sisko’s San Francisco Giants practice cap,Deep Space Nine,Deep Space Nine s7e4 Take Me Out to the Holosuite,siskosfcap.jpg,Earth,image/jpeg,The baseball cap worn by Captain Sisko during the Niners team practice in Deep Space Nine s7e4 Take Me Out to the Holosuite.,baseball; Sisko; Niners
14,Niners baseball cap,Deep Space Nine,Deep Space Nine s7e4 Take Me Out to the Holosuite,ninerscap.jpg,Starfleet,image/jpeg,One of the caps worn by the Niners team in Deep Space Nine s7e4 Take Me Out to the Holosuite.,Starfleet; baseball;  Niners
15,NX-01 Logic Module,Enterprise,Enterprise s2e6 Mauraders,logicmodule.jpg,Starfleet,image/jpeg,"Data storage chips commonly used on the original NX-01 Enterprise. Can be seen in multiple episodes, including Enterprise s2e6 Mauraders.",Starfleet; tool
16,NX-01 Intercom,Enterprise,Enterprise s2e6 Mauraders,enterpriseintercom.jpg,,image/jpeg,,
17,Andorian Ale and toasting glasses,Enterprise,,andorianale.jpg,,image/jpeg,,
18,TOPO plaque,Enterprise,,topo.jpg,,image/jpeg,,
19,Cargo container miniature models,The Next Generation,,cargominis.jpg,,image/jpeg,,
20,Old Bandi City miniature model,The Next Generation,,bandicitymini.jpg,,image/jpeg,,
21,Medical PADD,Voyager,flesh and blood pt 1,medicalpadd.jpg,,image/jpeg,,
22,Delta Flyer aft console,Voyager,Extreme Risk,deltaflyerconsole.jpg,,,,